slug,first_date,first_expense_date
checkstyle/checkstyle,2019-01-21 12:59:05,
clojure-emacs/cider,2017-01-06 12:52:08,2019-01-13 22:50:03
uraimo/awesome-software-patreons,2017-09-14 17:07:07,
NaturalIntelligence/imglab,,
joshtronic/donate,,
onivim/oni,,
tareefdev/lets-support-emacs,2017-01-06 12:52:08,2019-01-13 22:50:03
kriasoft/react-starter-kit,2016-05-21 18:10:43,
tim-soft/react-starter-kit-antd,2016-05-21 18:10:43,
tomwayson/esri-loader-react-starter-kit,2016-05-21 18:10:43,
xugy0926/shuoriyu,2016-05-21 18:10:43,
clarketm/connect-react-starter-kit,2016-05-21 18:10:43,
SyedAman/kriegstudios.com,2016-05-21 18:10:43,
josephfrazier/Reported-Web,2016-05-21 18:10:43,
atomspace/atomspace-calentask,2016-05-21 18:10:43,
shakacode/react-starter-kit-with-bootstrap-loader,2016-05-21 18:10:43,
ibudisteanu/SkyHub-Frontend-React-Isomorphic,2016-05-21 18:10:43,
dreambo8563/RSK-Mobx-SSR,2016-05-21 18:10:43,
rubocop-hq/rubocop,2017-01-06 17:50:13,2019-01-13 22:49:48
WebReflection/donate,2018-01-25 21:01:56,
bevry/feedr,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/kava,2016-11-12 03:48:22,2018-11-30 22:31:28
balupton/website,2016-11-12 03:48:22,2018-11-30 22:31:28
docpad/docpad-plugin-feedr,2016-11-12 03:48:22,2018-11-30 22:31:28
docpad/website,2016-11-12 03:48:22,2018-11-30 22:31:28
docpad/docpad-plugin-consolidate,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/website,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/hooks,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/jordanbpeterson.community,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/eslint-config-bevry,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/daet,2016-11-12 03:48:22,2018-11-30 22:31:28
docpad/docpad-plugin-assets,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/billing,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/valid-directory,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/meet,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/memo,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/githubauthquerystring,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/start-of-week,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/pluginloader,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/native-promise-pool,2016-11-12 03:48:22,2018-11-30 22:31:28
kervin521/checkstyle,2019-01-21 12:59:05,
adnanh/webhook,2017-09-20 23:35:12,2019-03-01 16:15:44
JacobEvelyn/friends,,
docpad/docpad,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/cson,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/watchr,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/caterpillar,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/projectz,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/getmac,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/badges,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/istextorbinary,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/taskgroup,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/joe,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/domain-browser,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/typechecker,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/safeps,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/ambi,2016-11-12 03:48:22,2018-11-30 22:31:28
docpad/docpad-plugin-livereload,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/event-emitter-grouped,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/extendr,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/pluginclerk,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/textextensions,2016-11-12 03:48:22,2018-11-30 22:31:28
bevry/cachely,2016-11-12 03:48:22,2018-11-30 22:31:28
dragoscirjan/aurelia-content-loader,,
dragoscirjan/aurelia-google-recaptcha,,
code-helix/slatekit,,
code-helix/slatekit-common,,
mlabouardy/komiser,2019-06-19 14:19:04,
pomber/git-history,,
BlueLightOS/bluelight,,
DIYgod/RSSHub,,
MoePlayer/DPlayer,2018-08-23 02:17:22,
DIYgod/DPlayer,2018-08-23 02:17:22,
cdnbye/P2P-DPlayer,2018-08-23 02:17:22,
maximenz/Kaku,2017-05-17 06:17:21,
FreezingMoon/AncientBeast,,
huangyuan9/distributer,2017-04-12 13:37:32,
huangyuan9/permission,2017-04-12 13:37:32,
ory/hydra,2018-04-11 03:08:09,
ory/oathkeeper,2018-04-11 03:08:09,
ory/keto,2018-04-11 03:08:09,
pizzaql/pizzaql,2019-06-04 07:06:32,2019-06-20 23:28:55
amilajack/eslint-plugin-compat,,
NaturalIntelligence/fast-xml-parser,2018-02-28 10:12:32,2018-12-02 20:33:09
antonreshetov/mysigmail,,
botman/botman,,
devhubapp/devhub,2019-05-26 03:24:39,2019-07-05 00:15:24
ng-alain/ng-alain,,
ng-alain/delon,,
d2phap/ImageGlass,,
danichim/web-technologies,,
pixelfed/pixelfed,,
xiaodaigh/disk.frame,,
codex-team/editor.js,2019-04-02 07:12:39,
nayafia/lemonade-stand,,
mrjoelkemp/awesome-paid-open-source,2018-06-01 15:22:22,2019-07-01 19:11:50
source-foundry/inc,2016-10-15 11:48:09,2019-06-09 01:04:20
jamesgeorge007/Skills-Hub,2017-09-11 16:16:12,2019-06-05 23:35:49
ossfriendly/open-source-supporters,,
micromata/awesome-open-source-supporting,,
haasn/libplacebo,,
sara0871/babel,,
ifmeorg/ifme,2017-10-23 13:42:15,2018-10-20 18:32:30
InfiniBrains/mobagen,,
ivanceras/diwata,,
impulsesjs/impulses,,
j-show/jshow,,
jjzhang166/LCUI,2017-03-12 10:12:05,2017-08-04 13:41:38
orgmanager/orgmanager,2019-02-15 15:14:44,
tootsuite/mastodon,2019-01-10 08:27:50,2019-07-05 00:11:14
cambrian-era/mastodon,2019-01-10 08:27:50,2019-07-05 00:11:14
kiritan-pop/mastodon,2019-01-10 08:27:50,2019-07-05 00:11:14
moleculerjs/moleculer,2018-09-03 21:40:24,
ice-services/moleculer,2018-09-03 21:40:24,
nFnK/tntsearch-fulltext,2018-07-12 14:13:41,
nFnK/tntsearch,2018-07-12 14:13:41,
mui-org/material-ui-docs,2017-03-26 13:18:24,2019-05-17 01:28:54
pedronauck/docz,2018-08-08 14:18:15,
vulhub/vulhub,,
php-telegram-bot/core,,
joehand/open-source-finances,,
marktext/marktext,2018-05-08 14:24:53,2019-04-12 02:27:50
TutupSalep/React-Native-Starter,2017-11-14 09:08:58,2019-06-28 05:33:37
realrashid/sweet-alert,,
Requarks/wiki-v1,2017-10-05 05:09:44,2019-07-05 00:05:19
RicoSuter/NSwag,2018-12-16 13:00:50,
hafizadil123/orderpay,,
sentialx/multrin,,
serhii-londar/open-source-mac-os-apps,,
jfoenixadmin/JFoenix,,
neutralinojs/neutralinojs,2019-04-12 09:22:52,
