Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2019-02-01 09:21:24,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-02-01T14:21:24.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2019-01-02 00:02:14,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-01-02T05:02:14.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-12-02 00:02:48,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-12-02T05:02:48.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-11-02 01:02:01,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-11-02T05:02:01.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-10-02 01:03:06,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-10-02T05:03:06.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-09-02 01:02:37,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-09-02T05:02:37.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-08-02 01:12:45,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-08-02T05:12:45.000Z"
"DIYgod","DIYgod","http://opencollective.com/diydgod",2018-07-13 18:41:24,"USD","USD",-9.94,0.00,0.00,-0.74,-10.68,"one time","2018-07-13T22:41:24.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-07-02 01:04:22,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-07-02T05:04:22.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-06-02 01:03:25,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-06-02T05:03:25.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-05-02 01:04:33,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-05-02T05:04:33.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-04-02 13:24:41,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-04-02T17:24:41.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2018-03-02 15:23:57,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-03-02T20:23:57.000Z"
"monthly recurring subscription","grzhan","http://opencollective.com/grzhan",2018-02-01 03:42:49,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-02-01T08:42:49.000Z"
"monthly recurring subscription","grzhan","http://opencollective.com/grzhan",2018-01-01 03:45:07,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-01-01T08:45:07.000Z"
"Monthly donation to APlayer (backer)","grzhan","http://opencollective.com/grzhan",2017-12-18 02:42:17,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2017-12-18T07:42:17.000Z"
